Ac Name,Route,Area,Contact
Bapa Sitaram Tea Stall : 2,Indore Highway,Indore Highway,9327505899
Kalpanaben,Indore Highway,Indore Highway,0
Zulfiqar Petrol Pump (Irfan Limdiwala),Indore Highway,Indore Highway,0
Jay Mahakali Restaurant,Indore Highway,Indore Highway,0
Jay Khodiyar Nasta,Indore Highway,Indore Highway,0
Jay Maa Chamunda Tea Stall (Vishal),Indore Highway,Indore Highway,9265571976
Raja Tea Stall,Indore Highway,Indore Highway,0
Super Nasta House,Indore Highway,Indore Highway,0
Hotel Salman,Indore Highway,Indore Highway,0
Hotel Bajrang (Sanjaybhai),Indore Highway,Indore Highway,8849258464
Hotel Khushi (Pankajbhai),Indore Highway,Indore Highway,7046081147
Jay Matadi Kathiyawadi Hotel,Indore Highway,Indore Highway,0
Patidar Rajwadi Tea Neel,Indore Highway,Indore Highway,0
Jaafarbhai,Indore Highway,Indore Highway,0
Naina Kaki,Indore Highway,Indore Highway,0
Kesar Rajwadi Tea,Indore Highway,Indore Highway,0
Chaudhry Fresh,Indore Highway,Indore Highway,0
Jay Ambe Nasta,Indore Highway,Indore Highway,0
Roop Shree,Indore Highway,Indore Highway,0
Ajaybhai,Indore Highway,Indore Highway,0
RTO Tax Pan,Indore Highway,Indore Highway,0
Lalchand Damor,Indore Highway,Indore Highway,0
Centre Point,Indore Highway,Indore Highway,0
Vadh Ghat ind,Indore Highway,Indore Highway,0
Divanbhai,Indore Highway,Indore Highway,0
Police Highway,Indore Highway,Indore Highway,0
Praannath Kariyana,Indore Highway,Jalat,0
Kulsingbhai,Indore Highway,Jalat,0
Jay Ambe Rajwadi,New Route,Jeevan deep,0
Sai Provision,New Route,Jeevan deep,0
Jay Mahakali Pan,New Route,Jeevan deep,0
Sureshbhai,Indore Highway,Jeshawada Chokdi,0
Rajwadi Chai ni Jamawat,Indore Highway,Jeshawada Chokdi,0
Meera Rajwadi Tea,Indore Highway,Jeshawada Chokdi,0
Jay Bhawani Juice,Indore Highway,Jeshawada Chokdi,0
Bharat Labana,Katwara,Katwara,0
Labana Hotel (Rakeshbhai),Katwara,Katwara,0
Maa Aashapura Hotel (Shivambhai),Katwara,Katwara,09904727345
Hotel Aarohi (Anilbhai),Katwara,Katwara,0
Shree Ram General Store,Katwara,Katwara,0
Shivam Farsan (Praveenbhai),Katwara,Katwara,0
Sureshbhai Cabin,Katwara,Katwara,0
Avantika Resort,Katwara,Katwara,+919825244172
SS Pan Corner (Shabbirbhai),Indore Highway,Maimoon nagar,0
Udabhai,Indore Highway,Mandav Chokdi,8141193236
Har Siddhi Pan,Indore Highway,Mandav Chokdi,0
Bhawani Canteen,Indore Highway,Mandav Chokdi,0
Jay Matadi Nasta,Indore Highway,Mandav Chokdi,0
Aai Shree Khodiyar Pan,Indore Highway,Mandav Chokdi,0
Jalaram Pan (Dharmesh),Indore Highway,Mandav Rd,0
Ashok Provision Store,Indore Highway,Mandav Rd,0
Mukesh General Store,Indore Highway,Mandav Rd,0
Praveenbhai,Indore Highway,Mandav Rd,9978255802
Jatin D,Indore Highway,Mandav Rd,0
Krishna Provision Store,Indore Highway,Mandav Rd,0
SS Rajwadi Tea,Indore Highway,Mandav Rd,0
Govindam,Indore Highway,Mandav Rd,0
Padwal Hospital Canteen,Indore Highway,Mandav Rd,0
Maruti Provison Store,Indore Highway,Mandav Rd,0
National General Store,Indore Highway,Mandav Rd,0
Panchmurti Hanuman Mandir,Indore Highway,Mandav Rd,0
Guru Krupa Provision,Indore Highway,Mandav Rd,0
Hotel Bajrang,Indore Highway,Mangal Mahudi,0
Rameshbhai Mangal Mahudi,Indore Highway,Mangal Mahudi,0
Bajrangbali Tea,Indore Highway,Mangal Mahudi,0
Rockybhai Poultry Farm,Indore Highway,Muwaliya Crossing,0
Salimbhai Jada,Indore Highway,Muwaliya Crossing,9106165853
Babji Kariyana Stores (Khujemabhai),Indore Highway,Muwaliya Crossing,9099793291
Ansh Kariyana Store,Indore Highway,Muwaliya Crossing,0
Hemantbhai,Indore Highway,Muwaliya Crossing,0
Balaji Nasta,Indore Highway,Muwaliya Crossing,0
Mukeshbhai Muwaliya Crossing,Indore Highway,Muwaliya Crossing,0
Ruhi Tea,Indore Highway,Muwaliya Crossing,0
Raj Omelet Centre,Indore Highway,Muwaliya Crossing,0
Joharbhai,Indore Highway,Muwaliya Crossing,0
Jay Ambe Rajwadi,Indore Highway,Muwaliya Crossing,0
Baba Ramdev Hotel,Indore Highway,Muwaliya Crossing,0
Husainbhai Bangi,Indore Highway,Nagarpalika,0
Salim Pan,Indore Highway,Nagarpalika,0
Shiv Shakti Pan & Cold Drink (Mehulbhai),Indore Highway,Nagarpalika,0
Shabbirbhai Nasta & Tea,Indore Highway,Old Court Road,0
Swad Farsan & Sweets (Pradeepbhai),Indore Highway,Old Indore Highway,9726869693
Maheshbhai Pan,Indore Highway,Old Indore Highway,0
Rajendra Provision Store,Indore Highway,Old Indore Highway,9913117688
Rishi Cold Drink,Indore Highway,Old Indore Highway,0
Brijesh Modhia,Indore Highway,Padav,0
Kiran Provision Store,Indore Highway,Padav,0
Pan Supari (Rakeshbhai),Indore Highway,Padav,9426398180
Krishna Pan Corner (Mehul),Indore Highway,Padav,0
Moti Pan Corner,Indore Highway,Padav,0
Shree Hari General Store (Ghanshyambhai),Indore Highway,Padav,0
Shiv Shakti Kariyana,Indore Highway,Padav,0
Vansh Fresh,Indore Highway,Padav,0
Panchamrut Dairy (Lakabhai),Indore Highway,Padav,0
Panchamrut Parlour,Indore Highway,Padav,0
Shrinath Sweets & Farsan,Indore Highway,Padav,0
Mahadev Rajwadi Tea,Indore Highway,Padav,0
Maruti Xerox,Indore Highway,Padav,0
Rajubhai Kadiya,Indore Highway,Padav,0
Up Sarpanch Tea,Indore Highway,Padav,0
Priyansh Tea,Indore Highway,Padav,0
Khushboo Fast-Food (Iqbalbhai),Indore Highway,Parel,0
New Khushboo Fast-Food (Monu),Indore Highway,Parel,0
Royal Nasta,Indore Highway,Parel,9428128594
Tiwari Pan,Indore Highway,Parel,0
Ashokbhai (Alcohol),Indore Highway,Pusri,7874204727
Hemchand Damor (Alcohol),Indore Highway,Pusri,9979219115
Jay Babadev Hotel (Sureshbhai),Indore Highway,Pusri,0
Rameshwar Tiles,Indore Highway,Pusri,0
Kamleshbhai,Indore Highway,Pusri,0
Himmatbhai -Pusri,Indore Highway,Pusri,0
Shree Ganesh Hotel (Sureshbhai),Indore Highway,Rabdal,8238264436
Raja Omelet,Indore Highway,Rabdal,0
Subhash Kariyana Store,Indore Highway,Raliyati Rd,0
Balaji Nasta House,Indore Highway,Raliyati Rd,0
Hitesh General Store,Indore Highway,Raliyati Rd,0
Sai Point (Bhaveshbhai),Indore Highway,Raliyati Rd,0
Khushboo Point (Anandbhai),Indore Highway,Raliyati Rd,8238275115
Rajveer Pan (Rohit),Indore Highway,Raliyati Rd,9327888415
Savera General Store,Indore Highway,Raliyati Rd,0
Shree Hari Fresh Corner,Indore Highway,Raliyati Rd,0
Krishna Fresh Corner,Indore Highway,Raliyati Rd,0
Sainath General Store,Indore Highway,Raliyati Rd,0
Surmalbhai,Indore Highway,Raliyati Rd,0
Amarnath Dairy,Indore Highway,Raliyati Rd,0
Kundan Pan Corner,Indore Highway,Raliyati Rd,0
Jay Johar Kariyana,Indore Highway,Raliyati Rd,0
Aarkeshbhai,Indore Highway,Raliyati Rd,0
Jay bhole kariyana,Indore Highway,Raliyati Rd,0
Lala Pan Point,Indore Highway,Red Cross Bhavan,0
Mayaan Sinh,Indore Highway,Sabrana -Mamdav,0
Shree Raj Pan Corner,Indore Highway,Sabrana -Mandav,0
LuLu Store,Indore Highway,Sabrana -Mandav,0
Shri Ganesh Kariyana,Indore Highway,Sabrana -Mandav,0
NayanSingh bhai,Indore Highway,Sabrana -Mandav,0
FooDelicious Hotel,Indore Highway,Yaadgar to Bhagini,0
Zupda hotel,Indore Highway,Yaadgar to Bhagini,0
Chai Biscuits,Station Road,Yaadgar to Bhagini,0
Noor Hotel,Station Road,Yaadgar to Bhagini,0
Jalaram Pan (Babubhai),Indore Highway,Yash Market,0
Police,Station Road,Station Rd,0
